Pays d origine,Nombre total d artiste
USA,8.556029215201436
ESP,5.030437921392435
DNK,4.77912349311153
ITA,6.274762021241939
FRA,6.732210706467206
EST,1.0986122886681098
MEX,4.852030263919617
SWE,4.867534450455582
AFG,0.0
ISR,4.31748811353631
GBR,6.727431724850855
FIN,4.0943445622221
POL,4.8283137373023015
JPN,6.210600077024653
GTM,1.6094379124341003
COL,3.7376696182833684
ROU,2.995732273553991
RUS,5.236441962829949
DEU,6.835184586147301
ARG,4.9344739331306915
KWT,0.0
BEL,4.48863636973214
NLD,5.579729825986222
NOR,3.8918202981106265
CHL,4.110873864173311
CHE,5.634789603169249
CRI,0.6931471805599453
CZE,4.418840607796598
BRA,5.043425116919247
AUT,5.493061443340548
CAN,5.278114659230517
AUS,4.02535169073515
UKR,2.3978952727983707
HUN,3.9512437185814275
HTI,2.833213344056216
COG,0.6931471805599453
BOL,1.0986122886681098
CUB,4.060443010546419
PRT,2.833213344056216
IND,3.332204510175204
ISL,2.3978952727983707
IRL,2.9444389791664403
GUY,0.0
URY,3.044522437723423
SVK,2.0794415416798357
HRV,3.2188758248682006
GRC,2.5649493574615367
PER,3.5263605246161616
CHN,4.394449154672439
VEN,3.713572066704308
TUR,3.258096538021482
PAN,0.6931471805599453
DZA,1.791759469228055
ECU,1.3862943611198906
ZAF,4.23410650459726
IRN,3.044522437723423
PRK,3.5553480614894135
PRY,0.0
LUX,1.3862943611198906
NIC,0.6931471805599453
ZWE,1.3862943611198906
MAR,1.6094379124341003
TZA,0.0
BGR,1.3862943611198906
TUN,1.3862943611198906
SSD,0.0
TWN,1.9459101490553132
ETH,0.0
SVN,1.791759469228055
LVA,0.6931471805599453
SEN,1.0986122886681098
THA,1.0986122886681098
LTU,0.6931471805599453
PAK,1.0986122886681098
BHS,0.0
BIH,2.0794415416798357
MLI,1.0986122886681098
GEO,1.9459101490553132
EGY,2.0794415416798357
KEN,0.6931471805599453
ARE,0.0
NGA,1.0986122886681098
CYP,0.0
ALB,1.3862943611198906
AZE,0.0
CIV,0.0
MYS,0.6931471805599453
SGP,1.0986122886681098
SRB,1.791759469228055
TJK,0.0
NAM,0.6931471805599453
KHM,0.0
GHA,1.0986122886681098
LBN,1.791759469228055
KGZ,1.0986122886681098
VNM,1.9459101490553132
UGA,0.0
CMR,0.0
MRT,0.0
PSE,1.3862943611198906
SYR,0.0
IRQ,1.3862943611198906
SAU,0.0
KAZ,0.6931471805599453
RWA,0.0
IDN,0.0
MKD,0.0
PHL,1.0986122886681098
MOZ,0.0
AGO,0.0
PRI,1.6094379124341003
ESH,0.0
